year,station_name,elevation_ft,longitude,water_mm_sum,temp_c_med,temp_c_max,longitude_group
2015,French Gulch,3704,-122.55083,7642,12.25,27.4,1
2015,Shadow Mtns,3643,-115.7151,868,17.35,28.4,4
2015,Stubblefield,2995,-119.47831,1237,16.25,25.4,4
2015,Cochora Ranch,2697,-119.59608,1108,17,26.2,3
2015,Essex,2644,-115.16693,630,20.3,28.6,4
2015,Death Valley Jct,2062,-116.35132,677,19.799999999999997,35.9,4
2015,Monocline Ridge,875,-120.55463,1043,20,34.8,1
2015,Desert Center,556,-115.30505,371,25.700000000000003,36,4
2015,Ford Dry Lake,394,-115.09763,385,24.05,35.5,4
2016,Leavitt Lake,9604,-119.61281,17713,0.95,14.3,3
2016,Virginia Lakes Ridge,9445,-119.23433,6435,1.15,13.1,4
2016,Summit Meadow,9313,-119.53522,7400,1.5499999999999998,13.1,4
2016,Lobdell Lake,9249,-119.36572,6543,0.19999999999999998,14.2,4
2016,Mt Rose Ski Area,8801,-119.89473,16204,2.45,13.6,3
2016,Sonora Pass,8770,-119.6003,9384,0.55,13.6,3
2016,Ebbetts Pass,8661,-119.80468,14337,2.4,15.9,3
2016,Horse Meadow,8557,-119.662,11374,3.65,12.9,3
2016,Heavenly Valley,8534,-119.91641,11474,2.45,11.2,2
2016,Carson Pass,8360,-120.0022,11340,0.7000000000000001,12.8,2
2016,Independence Lake,8338,-120.28972,16574,3.15,15.6,1
2016,Monitor Pass,8306,-119.6087,6353,2.8499999999999996,13.3,3
2016,Big Meadow,8235,-119.9422,10082,2.7,15.3,2
2016,Burnside Lake,8129,-119.8942,11207,0.7,12.9,3
2016,Blue Lakes,8067,-119.91667,11951,0.44999999999999996,11.6,2
2016,Forestdale Creek,8017,-119.9597,13449,3.5500000000000003,13.3,2
2016,Squaw Valley G.C.,8013,-120.26576,16079,4.55,15.4,1
2016,Marlette Lake,7884,-119.89672,9508,3.75,13.2,3
2016,Bodie Hills,7825,-119.12645,1558,2,17,4
2016,Hagans Meadow,7742,-119.9374,9125,2.9,8.2,2
2016,Poison Flat,7736,-119.62624,7935,1.15,12.8,3
2016,Echo Peak,7653,-120.0795,17226,4.55,16.4,2
2016,Rubicon No.2,7619,-120.13139,10582,4.6,16.9,2
2016,Dismal Swamp,7360,-120.18033,14206,1.2,10.4,2
2016,Doe Ridge,7340,-118.82643,1475,4.1,15.5,4
2016,Fredonyer Peak,7208,-120.60805,38,-5.2,-5.2,1
2016,Leavitt Meadows,7198,-119.55111,6854,3.25,13,3
2016,Cedar Pass,7050,-120.30202,8211,4,17.1,1
2016,Cedar Pass,7030,-120.3025,1079,2.5,2.5,1
2016,Independence Camp,6980,-120.29367,6366,2.45,12.3,1
2016,Css Lab,6894,-120.36807,17418,4.55,11.8,1
2016,Tahoe City Cross,6797,-120.15362,9174,3.25,13.8,2
2016,Ward Creek No.3,6745,-120.21865,18223,1.6,13.2,2
2016,Little Valley,6510,-119.8771,7688,5.800000000000001,19.6,3
2016,Truckee No.2,6509,-120.18407,8942,4.45,15.3,2
2016,Independence Creek,6436,-120.28226,6558,1.25,10.9,1
2016,Fallen Leaf,6242,-120.0545,7396,2.8,13.8,2
2016,Adin Mtn,6190,-120.79192,7866,3.1999999999999997,16.4,1
2016,Marble Creek,6183,-118.4209,813,11.7,25.7,4
2016,Spratt Creek,6063,-119.81741,6737,4.449999999999999,15.2,3
2016,State Line,5680,-120.71574,4953,5,17.8,1
2016,Deep Springs,5399,-117.97383,711,9,22.4,4
2016,Crowder Flat,5170,-120.75202,3806,4.45,17.7,1
2016,Eagle Lake,5134,-120.72472,3081,4.8,17.2,1
2016,Ash Valley,5097,-120.6872,2886,6.4,21.2,1
2016,French Gulch,3704,-122.55083,2646,4.1,11.1,1
2016,Shadow Mtns,3643,-115.7151,1117,11.100000000000001,27.8,4
2016,Stubblefield,2995,-119.47831,1479,13.25,24.5,4
2016,Cochora Ranch,2697,-119.59608,1500,17.15,25.4,3
2016,Essex,2644,-115.16693,881,14.45,29.7,4
2016,Death Valley Jct,2062,-116.35132,1221,16.2,34.5,4
2016,Monocline Ridge,875,-120.55463,1302,16.3,31.7,1
2016,Desert Center,556,-115.30505,296,18.049999999999997,34.5,4
2016,Ford Dry Lake,394,-115.09763,244,16.55,33.8,4
2017,Leavitt Lake,9604,-119.61281,35427,3.0999999999999996,14.8,3
2017,Virginia Lakes Ridge,9445,-119.23433,13066,2.8499999999999996,13.8,4
2017,Summit Meadow,9313,-119.53522,13105,2.35,15.2,4
2017,Lobdell Lake,9249,-119.36572,11294,0.75,11.5,4
2017,Mt Rose Ski Area,8801,-119.89473,32753,3.75,16.4,3
2017,Sonora Pass,8770,-119.6003,19382,1.85,11.7,3
2017,Ebbetts Pass,8661,-119.80468,27746,3.6,15.6,3
2017,Horse Meadow,8557,-119.662,19992,3.1,16,3
2017,Heavenly Valley,8534,-119.91641,18314,1.7,12.5,2
2017,Carson Pass,8360,-120.0022,20349,2.2,11.9,2
2017,Independence Lake,8338,-120.28972,27521,4,18.5,1
2017,Monitor Pass,8306,-119.6087,11133,3.55,14.9,3
2017,Big Meadow,8235,-119.9422,17824,2.65,14.8,2
2017,Burnside Lake,8129,-119.8942,20576,-1.3,8.1,3
2017,Blue Lakes,8067,-119.91667,20379,0.9,12.8,2
2017,Forestdale Creek,8017,-119.9597,24972,3.55,13.7,2
2017,Squaw Valley G.C.,8013,-120.26576,31619,6.15,19.8,1
2017,Marlette Lake,7884,-119.89672,16645,1.75,14.1,3
2017,Bodie Hills,7825,-119.12645,2567,0.8,14.2,4
2017,Hagans Meadow,7742,-119.9374,15660,-0.75,10,2
2017,Poison Flat,7736,-119.62624,16224,0.8500000000000001,10.4,3
2017,Echo Peak,7653,-120.0795,30934,5.1,17.3,2
2017,Rubicon No.2,7619,-120.13139,21361,5.25,18.3,2
2017,Dismal Swamp,7360,-120.18033,17306,0.1,16.4,2
2017,Doe Ridge,7340,-118.82643,3619,2.55,16.3,4
2017,Fredonyer Peak,7208,-120.60805,6223,5,21.8,1
2017,Leavitt Meadows,7198,-119.55111,16044,0.8000000000000002,13.3,3
2017,Cedar Pass,7050,-120.30202,8271,2.5,20.4,1
2017,Cedar Pass,7030,-120.3025,1196,-7.5,-7.5,1
2017,Independence Camp,6980,-120.29367,14256,0.75,13.2,1
2017,Css Lab,6894,-120.36807,31419,3.1500000000000004,14.9,1
2017,Tahoe City Cross,6797,-120.15362,16573,3.85,16.3,2
2017,Ward Creek No.3,6745,-120.21865,33204,0.29999999999999993,12.3,2
2017,Little Valley,6510,-119.8771,16064,3.55,11.5,3
2017,Truckee No.2,6509,-120.18407,16982,4.75,17.5,2
2017,Independence Creek,6436,-120.28226,12187,0.14999999999999997,12.1,1
2017,Fallen Leaf,6242,-120.0545,15659,2.7,12.4,2
2017,Adin Mtn,6190,-120.79192,9152,0.6,22,1
2017,Marble Creek,6183,-118.4209,1666,11.5,25.7,4
2017,Spratt Creek,6063,-119.81741,13266,2.1,14.6,3
2017,State Line,5680,-120.71574,5636,3.85,23.3,1
2017,Deep Springs,5399,-117.97383,1332,8.75,22.1,4
2017,Crowder Flat,5170,-120.75202,4343,2.5999999999999996,21.2,1
2017,Eagle Lake,5134,-120.72472,4768,2.75,20.1,1
2017,Ash Valley,5097,-120.6872,3524,3.8499999999999996,20,1
2017,French Gulch,3704,-122.55083,4140,11.7,26.9,1
2017,Shadow Mtns,3643,-115.7151,923,12.4,24.8,4
2017,Stubblefield,2995,-119.47831,2451,13,27,4
2017,Cochora Ranch,2697,-119.59608,2150,12.65,29.2,3
2017,Essex,2644,-115.16693,1358,13.85,32.4,4
2017,Death Valley Jct,2062,-116.35132,559,14.149999999999999,30.3,4
2017,Monocline Ridge,875,-120.55463,1835,17.85,33.3,1
2017,Desert Center,556,-115.30505,740,21.549999999999997,35.2,4
2017,Ford Dry Lake,394,-115.09763,625,18.1,36.3,4
2018,Leavitt Lake,9604,-119.61281,12824,3.1,14.5,3
2018,Virginia Lakes Ridge,9445,-119.23433,5004,2.0999999999999996,11.7,4
2018,Summit Meadow,9313,-119.53522,5031,2.25,13,4
2018,Lobdell Lake,9249,-119.36572,4275,0.6,11.9,4
2018,Mt Rose Ski Area,8801,-119.89473,11967,3.0999999999999996,15.1,3
2018,Sonora Pass,8770,-119.6003,7050,1.2,11.6,3
2018,Ebbetts Pass,8661,-119.80468,10867,3.75,16.2,3
2018,Horse Meadow,8557,-119.662,6720,3,14.4,3
2018,Heavenly Valley,8534,-119.91641,7238,1.2,13.1,2
2018,Carson Pass,8360,-120.0022,7687,2.7,13.4,2
2018,Independence Lake,8338,-120.28972,11294,4.6,17.7,1
2018,Monitor Pass,8306,-119.6087,4605,3.4000000000000004,13.6,3
2018,Big Meadow,8235,-119.9422,6981,2.95,15.1,2
2018,Burnside Lake,8129,-119.8942,7857,-1,9.9,3
2018,Blue Lakes,8067,-119.91667,7780,0.7,13.7,2
2018,Forestdale Creek,8017,-119.9597,9908,2.3499999999999996,14.5,2
2018,Squaw Valley G.C.,8013,-120.26576,12521,5.05,17.7,1
2018,Marlette Lake,7884,-119.89672,6020,1.25,15.3,3
2018,Bodie Hills,7825,-119.12645,1380,0.8999999999999999,12.5,4
2018,Hagans Meadow,7742,-119.9374,5692,0.39999999999999997,11,2
2018,Poison Flat,7736,-119.62624,6489,0,11.8,3
2018,Echo Peak,7653,-120.0795,11499,6.35,18.5,2
2018,Rubicon No.2,7619,-120.13139,7570,5.550000000000001,17.1,2
2018,Dismal Swamp,7360,-120.18033,9098,0.04999999999999999,14,2
2018,Doe Ridge,7340,-118.82643,1442,2,15.1,4
2018,Fredonyer Peak,7208,-120.60805,3635,4.85,17.2,1
2018,Leavitt Meadows,7198,-119.55111,6139,1.4,13.2,3
2018,Cedar Pass,7050,-120.30202,5400,3.8,17.3,1
2018,Cedar Pass,7030,-120.3025,567,-4,-4,1
2018,Independence Camp,6980,-120.29367,6259,2.15,13.6,1
2018,Css Lab,6894,-120.36807,12054,2.1,15.1,1
2018,Tahoe City Cross,6797,-120.15362,6945,3.4,15.6,2
2018,Ward Creek No.3,6745,-120.21865,13678,0.35,12.3,2
2018,Little Valley,6510,-119.8771,1952,1.4,2.6,3
2018,Truckee No.2,6509,-120.18407,6359,4.800000000000001,17.6,2
2018,Little Valley,6493,-119.8771,4112,4,14.3,3
2018,Independence Creek,6436,-120.28226,5299,1.2999999999999998,12.6,1
2018,Fallen Leaf,6242,-120.0545,6301,1.2999999999999998,13.8,2
2018,Adin Mtn,6190,-120.79192,5058,1.05,15.4,1
2018,Marble Creek,6183,-118.4209,523,10.55,22.6,4
2018,Spratt Creek,6063,-119.81741,5364,2.85,14.9,3
2018,State Line,5680,-120.71574,3094,3.8,15.2,1
2018,Deep Springs,5399,-117.97383,570,9.850000000000001,24.3,4
2018,Crowder Flat,5170,-120.75202,2566,2.1,14.1,1
2018,Eagle Lake,5134,-120.72472,2391,2.85,17.9,1
2018,Ash Valley,5097,-120.6872,82,0.1,0.1,1
2018,French Gulch,3704,-122.55083,4739,10.1,24.4,1
2018,Shadow Mtns,3643,-115.7151,482,11.1,27.9,4
2018,Stubblefield,2995,-119.47831,899,11.6,26.3,4
2018,Cochora Ranch,2697,-119.59608,753,13.45,28,3
2018,Essex,2644,-115.16693,283,16.9,30.9,4
2018,Tule River,2429,-118.7223,128,16.9,18.2,4
2018,Death Valley Jct,2062,-116.35132,268,16.8,30.9,4
2018,Monocline Ridge,875,-120.55463,763,17.05,32.8,1
2018,Desert Center,556,-115.30505,129,20.25,35.8,4
2018,Ford Dry Lake,394,-115.09763,81,20.75,36.2,4
2019,Leavitt Lake,9604,-119.61281,5161,-3.8,-0.8,3
2019,Virginia Lakes Ridge,9445,-119.23433,1986,-2.6,-1.1,4
2019,Summit Meadow,9313,-119.53522,2562,-2.3,-2.1,4
2019,Lobdell Lake,9249,-119.36572,2111,-4.4,-1.3,4
2019,Mt Rose Ski Area,8801,-119.89473,4573,-3.2,-0.9,3
2019,Sonora Pass,8770,-119.6003,3058,-3.3,-1.7,3
2019,Ebbetts Pass,8661,-119.80468,4302,-2.3,1.5,3
2019,Horse Meadow,8557,-119.662,4129,-2.2,-0.9,3
2019,Heavenly Valley,8534,-119.91641,2718,-2.4,-1.6,2
2019,Carson Pass,8360,-120.0022,3390,-1.9,-1.2,2
2019,Independence Lake,8338,-120.28972,4306,-3.1,1.9,1
2019,Monitor Pass,8306,-119.6087,1877,-1.2,0.6,3
2019,Big Meadow,8235,-119.9422,2732,-2.4,-0.9,2
2019,Burnside Lake,8129,-119.8942,3424,-5.1,-1,3
2019,Blue Lakes,8067,-119.92437,2053,-1.3,-1.3,2
2019,Blue Lakes,8067,-119.91667,1568,-6.85,-1.9,2
2019,Forestdale Creek,8017,-119.9597,4141,-1.4,-0.9,2
2019,Squaw Valley G.C.,8013,-120.26576,4760,-2.3,0.7,1
2019,Marlette Lake,7884,-119.89672,2954,-0.6,1.9,3
2019,Bodie Hills,7825,-119.12645,178,-1.8,1.4,4
2019,Hagans Meadow,7742,-119.9374,2413,-1.2,0.5,2
2019,Poison Flat,7736,-119.62624,2252,-2.1,0.3,3
2019,Echo Peak,7653,-120.0795,4719,-0.7,2.7,2
2019,Rubicon No.2,7619,-120.13139,2964,0.1,2.4,2
2019,Dismal Swamp,7360,-120.18033,3357,-7.3,0.9,2
2019,Doe Ridge,7340,-118.82643,412,-3.3,3.7,4
2019,Fredonyer Peak,7208,-120.60805,1639,-6.4,2.2,1
2019,Leavitt Meadows,7198,-119.55111,2420,-3.8,2.3,3
2019,Cedar Pass,7050,-120.30202,1031,-3.8499999999999996,3.5,1
2019,Cedar Pass,7030,-120.3025,1001,-7.2,-7.2,1
2019,Independence Camp,6980,-120.29367,2487,-0.2,-0.1,1
2019,Css Lab,6894,-120.36807,5011,-0.2,2.4,1
2019,Tahoe City Cross,6797,-120.15362,2791,0.8,0.9,2
2019,Ward Creek No.3,6745,-120.21865,5362,0.7,2.2,2
2019,Truckee No.2,6509,-120.18407,2771,1.1,2.8,2
2019,Little Valley,6493,-119.8771,2197,-2.1,2.9,3
2019,Independence Creek,6436,-120.28226,1953,-1.5,1.3,1
2019,Fallen Leaf,6242,-120.0545,1934,-1.2,3.4,2
2019,Adin Mtn,6190,-120.79192,1927,-5.4,2.9,1
2019,Marble Creek,6183,-118.4209,311,4.2,9.1,4
2019,Spratt Creek,6063,-119.81741,1719,-0.8,4.4,3
2019,State Line,5680,-120.71574,1291,-4.1,2.8,1
2019,Deep Springs,5399,-117.97383,237,-0.1,5.8,4
2019,Crowder Flat,5170,-120.75202,800,-3.2,1.1,1
2019,Eagle Lake,5134,-120.72472,675,-5.3,-1,1
2019,French Gulch,3704,-122.55083,1952,1.2,7.3,1
2019,Shadow Mtns,3643,-115.7151,123,5.1,9.4,4
2019,Stubblefield,2995,-119.47831,321,5.5,8.4,4
2019,Cochora Ranch,2697,-119.59608,280,7.7,10.3,3
2019,Essex,2644,-115.16693,231,11.5,11.5,4
2019,Death Valley Jct,2062,-116.35132,77,6.4,13.4,4
2019,Monocline Ridge,875,-120.55463,276,9.6,11.4,1
2019,Desert Center,556,-115.30505,179,6.95,11.9,4
2019,Ford Dry Lake,394,-115.09763,199,12.1,13.6,4
